"handle","name","content","replies","retweets","favorites","unix_timestamp","date","url","__url"
"@jon_ollendick","Jon Ollendick","Getting ready to see @BernieSanders in Iowa City!!! #feelthebern #bernie2020","","10","33","1562111495000","Jul 2","/jon_ollendick/status/1146204805339275264","https://twitter.com/search?l=en&q=Bernie%20Sanders%20since%3A2019-06-22%20until%3A2019-07-03&src=typd&lang=en"
"@farrukh_shamsi","Farrukh Shamsi","Another reason that #Bernie should be President. 
After the last debate all of America knows 
ONLY #BernieBeatsTrump. 

Democrats see Sanders as the best to handle health care @CNN","","4","16","1562111385000","Jul 2","/farrukh_shamsi/status/1146204344225869824","https://twitter.com/search?l=en&q=Bernie%20Sanders%20since%3A2019-06-22%20until%3A2019-07-03&src=typd&lang=en"
"@JohnnyAkzam","Johnny Akzam","I know this kills corporate media wannabe @markos so much when @BernieSanders keeps winning polls on his website, especially after he keeps shilling for corporate candidates.

Take the @dailykos poll... https://m.dailykos.com/stories/2019/7/2/1868950/-Daily-Kos-Democratic-Presidential-Straw-Poll-post-first-debate-edition …","2","5","11","1562111366000","Jul 2","/JohnnyAkzam/status/1146204264110481408","https://twitter.com/search?l=en&q=Bernie%20Sanders%20since%3A2019-06-22%20until%3A2019-07-03&src=typd&lang=en"
"@CollegeInsights","College Pulse","Have you heard the latest polling from the Chegg/College Pulse Student Election Tracker?

@SenSanders has a comfortable lead amongst college students with 26% of the vote.  See who is trailing him in the polls now: https://www.chegg.com/press/college-election-tracker/ … #elections","","5","5","1562111033000","Jul 2","/CollegeInsights/status/1146202866312335361","https://twitter.com/search?l=en&q=Bernie%20Sanders%20since%3A2019-06-22%20until%3A2019-07-03&src=typd&lang=en"
"@CarlBeijer","Carl Beijer","Jacobin writers get smeared as candidate groupies whether they support Bernie Sanders or Gloria La Riva. I'm beginning to suspect you people just don't like anyone who identifies as a socialist ","1","","69","1562111020000","Jul 2","/CarlBeijer/status/1146202813611073536","https://twitter.com/search?l=en&q=Bernie%20Sanders%20since%3A2019-06-22%20until%3A2019-07-03&src=typd&lang=en"
"@FvrDrms","Bernie Is The Front Runner 🌹","I won't vote for anyone I can't trust to fight for single payer #MedicareForAll ...that means all corporate candidates are non-options.","","1","19","1562110860000","Jul 2","/FvrDrms/status/1146202142983639040","https://twitter.com/search?l=en&q=Bernie%20Sanders%20since%3A2019-06-22%20until%3A2019-07-03&src=typd&lang=en"
"@KyleLovesBernie","kyle jones","Bernie Sanders already has 2 million donors so far, it took us til December to hit that mark last time, plus Bernie has by far the largest ground team of volunteers ""well over 1 million and growing"", plus Bernies funded by we the people unlike Pete, Kamala, Biden and others.","4","33","121","1562110724000","Jul 2","/KyleLovesBernie/status/1146201569207054336","https://twitter.com/search?l=en&q=Bernie%20Sanders%20since%3A2019-06-22%20until%3A2019-07-03&src=typd&lang=en"
"@MARCANDERSONNWO","Outspoken Marc","the MSM has already written Bernie sanders off and said that his campaign is over they are now saying kamala and warren are the frontrunners and Joe Biden is sinking like a rocket that they have now even turned on his ass.","2","2","14","1562110475000","Jul 2","/MARCANDERSONNWO/status/1146200524754161670","https://twitter.com/search?l=en&q=Bernie%20Sanders%20since%3A2019-06-22%20until%3A2019-07-03&src=typd&lang=en"
"@MSDNC3","MSDNC","""Support for Bernie Sanders at MSNBC is 13%, less than at the NYT, WaPo, CNN, & perhaps most surprisingly, the Wall Street Journal, & yes, Fox News, where Sanders’ support is actually the highest of all the aforementioned outlets, at 22%.""

#MSDNC","","10","22","1562110453000","Jul 2","/MSDNC3/status/1146200433192558592","https://twitter.com/search?l=en&q=Bernie%20Sanders%20since%3A2019-06-22%20until%3A2019-07-03&src=typd&lang=en"
"@lilradishn","Aggressive progressive  🌹","I doubt that CNN has said ""Bernie Sanders"" as many times in 2 years as they did today. Because he raised less than their boyfriend Pete. Glee all around.","7","10","33","1562110123000","Jul 2","/lilradishn/status/1146199049693028352","https://twitter.com/search?l=en&q=Bernie%20Sanders%20since%3A2019-06-22%20until%3A2019-07-03&src=typd&lang=en"
"@Berniecrat123","Common Sense","""Bernie Sanders"" has by far the largest grassroots volunteer base, receives the most individual small dollar donations & is the only Democratic candidate drawing crowds of tens of thousands of supporters yet @CNN wants us to believe he is now in fourth place? My ass! #Bernie2020 pic.twitter.com/BnaWm256Ar","34","270","669","1562109758000","Jul 2","/Berniecrat123/status/1146197517220175874","https://twitter.com/search?l=en&q=Bernie%20Sanders%20since%3A2019-06-22%20until%3A2019-07-03&src=typd&lang=en"
"@ThiaBallerina","Thia is with Bernie  🤓 🔥 😍 ✌️","This isn’t politics, this is humanity. We all need to come together ","1","2","19","1562109575000","Jul 2","/ThiaBallerina/status/1146196750488653825","https://twitter.com/search?l=en&q=Bernie%20Sanders%20since%3A2019-06-22%20until%3A2019-07-03&src=typd&lang=en"
"@MrWeeks1982","Mr. Weeks  👑","Bernie Sanders voted against marriage equality. 

And for the love GOD stop thinking MARRIAGE EQUALITY IS THE ONLY THING ON LGBT RIGHTS. 

Marriage equality was on the the agenda, just like Civil Unions were and Hillary Clinton supported that. 

It's amazing how ignorant ppl are. ","","5","40","1562109407000","Jul 2","/MrWeeks1982/status/1146196048169381892","https://twitter.com/search?l=en&q=Bernie%20Sanders%20since%3A2019-06-22%20until%3A2019-07-03&src=typd&lang=en"
"@JenandZen","Mom Folding Laundry","Bernie Sanders needs to stop.

I supported him last time, before he sold out and became a whipping boy for the DNC.

But its four years later, and we’ve seen from cities like Seattle that socialism doesn’t work.

Time for a new direction.","2","3","24","1562109396000","Jul 2","/JenandZen/status/1146196001905975298","https://twitter.com/search?l=en&q=Bernie%20Sanders%20since%3A2019-06-22%20until%3A2019-07-03&src=typd&lang=en"
"","Davy Crockett ➡️ ➡️ ➡️NO TRAINS ⚒ ⚒NO DM ⚒NO  ⚒TRAINS  ⚒","You know the more she opens her mouth the funnier she looks

No one can be so uneducated","2","11","9","1562109185000","Jul 2","/DavyCro50709303/status/1146195116505198592","https://twitter.com/search?l=en&q=Bernie%20Sanders%20since%3A2019-06-22%20until%3A2019-07-03&src=typd&lang=en"
"@NYforSanders","NY For Sanders #Bernie2020","The Sanders campaign is struggling with the older demographic.

This demographic watches cable news and is the most reliable voting bloc.

Taking the fight to the networks smearing Bernie helps disrupt their narrative AND helps Bernie reach a demo he desperately needs.","2","6","17","1562108714000","Jul 2","/NYforSanders/status/1146193139172106243","https://twitter.com/search?l=en&q=Bernie%20Sanders%20since%3A2019-06-22%20until%3A2019-07-03&src=typd&lang=en"
"@MrWeeks1982","Mr. Weeks  👑","Bernie Sanders lost by 4M votes and you turned around and gave the White House to a rapist. ","14","48","236","1562108635000","Jul 2","/MrWeeks1982/status/1146192808593768451","https://twitter.com/search?l=en&q=Bernie%20Sanders%20since%3A2019-06-22%20until%3A2019-07-03&src=typd&lang=en"
"@DanRadzikowski","Dan Radzikowski  🍎","This is excellent news!  There is a #BerniePoll about to close in about an hour. Warren listed twice, currently #Bernie2020 is behind by about 1,800 votes. Please RT/share to help #Bernie win, thx! @BayArea4Bernie @OurRevolutionGA @OurRevolutionVC @mdb2","4","5","15","1562108194000","Jul 2","/DanRadzikowski/status/1146190960826757120","https://twitter.com/search?l=en&q=Bernie%20Sanders%20since%3A2019-06-22%20until%3A2019-07-03&src=typd&lang=en"
"@jackiemccaffrey","Jackie #JusticeForEricGarner McCaffrey","Absolutely. Unlike Warren, both Bernie and Tulsi sponsored or co-sponsored legislation to abolish private prisons. Warren had a chance to step up and as usual didn't.","4","28","118","1562108050000","Jul 2","/jackiemccaffrey/status/1146190356209446912","https://twitter.com/search?l=en&q=Bernie%20Sanders%20since%3A2019-06-22%20until%3A2019-07-03&src=typd&lang=en"
"@farrukh_shamsi","Farrukh Shamsi","•Almost 1 million #Bernie2020 donors gave $18 Million = $18 per person. 
•@BernieSanders #yuge
 $ 2 4  M I L L I O N in bank
•Donors incl employees of Walmart, Amazon, Target. AND teachers. 
•Staying Power? #FeelTheBern","4","67","146","1562107804000","Jul 2","/farrukh_shamsi/status/1146189322548318208","https://twitter.com/search?l=en&q=Bernie%20Sanders%20since%3A2019-06-22%20until%3A2019-07-03&src=typd&lang=en"
"@teambernie27001","Bernie Supporter #1","With Apologies to ‘The Washington Post,’ What Bernie Sanders Says About Economic Inequality Is Especially Meaningful via @thenation","","25","37","1562107803000","Jul 2","/teambernie27001/status/1146189320346378240","https://twitter.com/search?l=en&q=Bernie%20Sanders%20since%3A2019-06-22%20until%3A2019-07-03&src=typd&lang=en"
"@18major","JG","Here were my comments about Bernie Sanders and the primary months ago..... ","6","17","46","1562107758000","Jul 2","/18major/status/1146189132185686017","https://twitter.com/search?l=en&q=Bernie%20Sanders%20since%3A2019-06-22%20until%3A2019-07-03&src=typd&lang=en"
"@beardedcrank","The Bearded Crank","Post Debate (change from pre)
Joe Biden — 23% (-7)
Elizabeth Warren — 22% (-2)
Kamala Harris — 17% (+10)
Bernie Sanders — 15% (-1)
Pete Buttigieg — 7% (0) ","5","19","69","1562107628000","Jul 2","/beardedcrank/status/1146188584610910208","https://twitter.com/search?l=en&q=Bernie%20Sanders%20since%3A2019-06-22%20until%3A2019-07-03&src=typd&lang=en"
"@joshbuermann","josh buermann","And in 2015.","3","35","132","1562107551000","Jul 2","/joshbuermann/status/1146188260760154112","https://twitter.com/search?l=en&q=Bernie%20Sanders%20since%3A2019-06-22%20until%3A2019-07-03&src=typd&lang=en"
"@mayawiley","Maya Wiley","@JoeBiden @BernieSanders ... not going? ","8","22","78","1562106888000","Jul 2","/mayawiley/status/1146185481379602437","https://twitter.com/search?l=en&q=Bernie%20Sanders%20since%3A2019-06-22%20until%3A2019-07-03&src=typd&lang=en"
"@michaelmalice","Michael Malice","Eric Swalwell: https://twitter.com/ericswalwell/status/1090374782057676801 …
Amy Klobuchar: Silent/deleted
Andrew Yang: Silent/deleted
Marianne Williamson: Silent/deleted
Bernie Sanders: Silent/deleted
Beto O'Rourke: Silent/deleted
Tim Ryan: Silent/deleted
Elizabeth Warren: Silent/deleted","6","25","108","1562106585000","Jul 2","/michaelmalice/status/1146184209721171968","https://twitter.com/search?l=en&q=Bernie%20Sanders%20since%3A2019-06-22%20until%3A2019-07-03&src=typd&lang=en"
"@emosher819","Erik Mosher","This is one treatment!! We have at least 24 going forward. 

If you all would retweet,  we'd really appreciate it.","9","29","24","1562106551000","Jul 2","/emosher819/status/1146184069656535040","https://twitter.com/search?l=en&q=Bernie%20Sanders%20since%3A2019-06-22%20until%3A2019-07-03&src=typd&lang=en"
"@SenSanders","Bernie Sanders","Here is what we need to do: Convene the countries of this hemisphere to address the violence and deprivation that is prompting people to flee their own countries. As neighbors, we can solve these problems together.","103","422","1.9K","1562106328000","Jul 2","/SenSanders/status/1146183130522349568","https://twitter.com/search?l=en&q=Bernie%20Sanders%20since%3A2019-06-22%20until%3A2019-07-03&src=typd&lang=en"
"@SenSanders","Bernie Sanders","We must stop family separation; reunite families that have been separated; end detention of families, children and anyone who doesn't pose a danger; eliminate private detention facilities; and protect asylum seekers. We also must oppose Trump's nightmarish mass-deportation plans.","188","655","2.9K","1562106327000","Jul 2","/SenSanders/status/1146183129725460481","https://twitter.com/search?l=en&q=Bernie%20Sanders%20since%3A2019-06-22%20until%3A2019-07-03&src=typd&lang=en"
"@SenSanders","Bernie Sanders","Racist and sexist behavior on the part of those who wear a uniform of the United States is completely unacceptable.

@DHSgov must investigate and take strong action against those found guilty of this vulgar behavior.","174","828","3.6K","1562106327000","Jul 2","/SenSanders/status/1146183128995655680","https://twitter.com/search?l=en&q=Bernie%20Sanders%20since%3A2019-06-22%20until%3A2019-07-03&src=typd&lang=en"
"@TrinityMustache","Trinity Believes E. Jean Carroll","If Bernie Sanders was even remotely interested in truly seeing progressive policies come to fruition, he would drop out and endorse either Warren or Harris who each have a better chance to build a large enough coalition to beat Biden. Do the right thing for once @BernieSanders ","17","27","102","1562106074000","Jul 2","/TrinityMustache/status/1146182068516216832","https://twitter.com/search?l=en&q=Bernie%20Sanders%20since%3A2019-06-22%20until%3A2019-07-03&src=typd&lang=en"
"@BlueSteelDC","BlueSteelDC","I am not a Warren fan girl but the day Elizabeth Warren borrows anything from Bernie Sanders is the day I call Donald Trump for nutrition advice. The architect of CFPB doesnt need help in drawing up policies. What would Bernie do - tell her to copy from legislators of color?","3","7","64","1562105935000","Jul 2","/BlueSteelDC/status/1146181485843701760","https://twitter.com/search?l=en&q=Bernie%20Sanders%20since%3A2019-06-22%20until%3A2019-07-03&src=typd&lang=en"
"@Veritas1012","Veritas","HEALTH CARE...... Saves Lives

HEALTH INSURANCE...denies claims & exploits the sick and vulnerable because it's PROFITABLE 

Private Insurance makes Corporate FAT CATS rich by building in outrageous cost into healthcare

Corp Media wants to protect that","1","11","39","1562105727000","Jul 2","/Veritas1012/status/1146180610563559424","https://twitter.com/search?l=en&q=Bernie%20Sanders%20since%3A2019-06-22%20until%3A2019-07-03&src=typd&lang=en"
"@SenSanders","Bernie Sanders","Make no mistake: this is a major victory for democracy and a defeat for the xenophobic Trump Administration. The Census is supposed to count everyone, including immigrants. When we stand together and fight back, we can defeat Trump's bigotry.","407","764","4.4K","1562105715000","Jul 2","/SenSanders/status/1146180563373613057","https://twitter.com/search?l=en&q=Bernie%20Sanders%20since%3A2019-06-22%20until%3A2019-07-03&src=typd&lang=en"
"@Monaheart1229","Mona","That Sanders hasn't raised as much $ this quarter as Buttigieg has underlines the theory held by top politicos that Bernie has only a limited amt of support, & while loyal, his base isn't going to grow. This tells more than poll #s do now. #TuesdayThoughts","6","8","29","1562105329000","Jul 2","/Monaheart1229/status/1146178940995870722","https://twitter.com/search?l=en&q=Bernie%20Sanders%20since%3A2019-06-22%20until%3A2019-07-03&src=typd&lang=en"
"@yesthatCarlo","Carlo","You support Kamala? Do you know anything about what she's done to trans men and women as a prosecutor?","7","3","96","1562105253000","Jul 2","/yesthatCarlo/status/1146178623814164480","https://twitter.com/search?l=en&q=Bernie%20Sanders%20since%3A2019-06-22%20until%3A2019-07-03&src=typd&lang=en"
"@SavageJoyMarie1","SavageJoyMarieMann 🌹","From CNN? And yes, as someone with medical needs, @BernieSanders is the ONLY candidate I trust. ","3","21","83","1562104012000","Jul 2","/SavageJoyMarie1/status/1146173419517632522","https://twitter.com/search?l=en&q=Bernie%20Sanders%20since%3A2019-06-22%20until%3A2019-07-03&src=typd&lang=en"
"@MrWeeks1982","Mr. Weeks  👑","1M people wrote names in and 100k wrote Bernie Sanders name in ","","5","23","1562103640000","Jul 2","/MrWeeks1982/status/1146171857940492288","https://twitter.com/search?l=en&q=Bernie%20Sanders%20since%3A2019-06-22%20until%3A2019-07-03&src=typd&lang=en"
"@MrWeeks1982","Mr. Weeks  👑","Bernie Sanders voters went to jill Stein,  Gary Johnson and Donald Trump,  .... all the same. Yall tolerated a rapist sexist bigot racist. ","6","14","72","1562103412000","Jul 2","/MrWeeks1982/status/1146170903362973701","https://twitter.com/search?l=en&q=Bernie%20Sanders%20since%3A2019-06-22%20until%3A2019-07-03&src=typd&lang=en"
